번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"200","0020701A","비비안 16R","KOSPI","신주인수권증서","보통주","2020/09/01","2020/09/08",,,,,"0","12993377",,
"201","05290014","비아이이엠티12R","KOSDAQ","신주인수권증서","보통주","2014/10/13","2014/10/20",,,,,"0","17688730",,
"202","0542201D","비츠로시스 24R","KOSDAQ","신주인수권증서","보통주","2023/03/23","2023/03/30",,,,,"0","23991340",,
"203","05422014","비츠로시스7R","KOSDAQ","신주인수권증서","보통주","2014/09/16","2014/09/23",,,,,"0","9996438",,
"204","14324013","사람인에이치알 6R","KOSDAQ","신주인수권증서","보통주","2013/05/07","2013/05/14",,,,,"0","2597435",,
"205","10009018","삼강엠앤티 6R","KOSDAQ","신주인수권증서","보통주","2018/07/03","2018/07/10",,,,,"0","6997178",,
"206","01831016","삼목에스폼 6R","KOSDAQ","신주인수권증서","보통주","2016/07/19","2016/07/26",,,,,"0","4899003",,
"207","05370017","삼보모터스 29R","KOSDAQ","신주인수권증서","보통주","2017/02/21","2017/02/28",,,,,"0","2068143",,
"208","00962017","삼보산업 3R","KOSDAQ","신주인수권증서","보통주","2017/11/20","2017/11/27",,,,,"0","1349443",,
"209","00962019","삼보산업 7R","KOSDAQ","신주인수권증서","보통주","2019/11/20","2019/11/27",,,,,"0","11997378",,
"210","2079401C","삼성바이오로직스 3R","KOSPI","신주인수권증서","보통주","2022/03/23","2022/03/30",,,,,"0","4339688",,
"211","02805016","삼성엔지 9R","KOSPI","신주인수권증서","보통주","2016/01/22","2016/01/29",,,,,"0","124769837",,
"212","00136016","삼성제약 30R","KOSPI","신주인수권증서","보통주","2016/08/04","2016/08/11",,,,,"0","7189427",,
"213","00136018","삼성제약 33R","KOSPI","신주인수권증서","보통주","2018/05/24","2018/05/31",,,,,"0","11188529",,
"214","01014016","삼성중공업 14R","KOSPI","신주인수권증서","보통주","2016/10/21","2016/10/28",,,,,"0","127238441",,
"215","01014018","삼성중공업 15R","KOSPI","신주인수권증서","보통주","2018/03/27","2018/04/03",,,,,"0","191920651",,
"216","0101401B","삼성중공업 18R","KOSPI","신주인수권증서","보통주","2021/10/14","2021/10/21",,,,,"0","199790168",,
"217","01636011","삼성증권 28R","KOSPI","신주인수권증서","보통주","2011/11/08","2011/11/15",,,,,"0","7690362",,
