회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
일진디스플레이(주),020760,2020/12,6740,0,0,6.41,1.73,0,0,2.92,0.79,0,-84.13,116726661,-34911055,12637918,5552100,67685415,-28471904
일진디스플레이(주),020760,2021/12,2535,0,0,15.06,4.87,0,0,2.54,0.82,0,-176.49,122549054,-41896349,10442618,3451342,93360736,-33453246
일진디스플레이(주),020760,2022/12,1205,0,0,4.18,1.6,53.63,20.56,1.25,0.48,24,-16.75,121946603,-4146298,6008197,567114,112052570,-197205
일진전기(주),103590,2017/12,4440,0,0,0.7,0.53,0,0,0.28,0.21,18.84,-0.73,751797306,-2327060,68437178,3844974,762209871,5562497
일진전기(주),103590,2018/12,3000,0,0,0.91,0.34,0,0,0.36,0.13,17.68,-4.72,772343690,-14491818,59633633,3348612,734144402,5277378
일진전기(주),103590,2019/12,3025,47.81,27.73,0.49,0.28,5.04,2.92,0.22,0.13,12.63,1.01,776346702,3008963,49954605,2490009,658912975,9829990
일진전기(주),103590,2020/12,3170,27.76,8.94,0.44,0.14,2.43,0.78,0.19,0.06,9.81,1.56,783085045,4729166,58797732,1299877,703635618,13456212
일진전기(주),103590,2021/12,5110,23.07,8.42,1.05,0.38,56.75,20.71,0.35,0.13,10.95,4.48,830355028,13986185,58182743,1603158,928724411,19373413
일진전기(주),103590,2022/12,5310,13.14,6.7,0.9,0.46,5.71,2.91,0.26,0.13,8.2,6.78,818333453,22259261,61713147,2093565,1132474477,29176389
일진하이솔루스(주),271940,2017/12,,0,0,0,0,0,0,0,0,96.03,-22.61,28889580,-1490855,6908932,1015714,20338888,-917631
일진하이솔루스(주),271940,2018/12,,0,0,0,0,0,0,0,0,4.03,2.47,28208865,209189,8669737,1576257,28585758,594249
일진하이솔루스(주),271940,2019/12,,0,0,0,0,0,0,0,0,-1.06,39.1,76972844,8968428,19720111,2760158,88512979,12011955
일진하이솔루스(주),271940,2020/12,,0,0,0,0,0,0,0,0,-0.78,34.42,81301533,15578870,26247215,4348592,113524940,15074663
일진하이솔루스(주),271940,2021/12,54500,31.76,15.9,0.93,0.47,18.73,9.37,2.42,1.21,132.07,4.97,343543080,8963456,21027348,4985897,117690719,9802681
일진하이솔루스(주),271940,2022/12,29850,285.62,144.62,6.43,3.26,354.22,179.35,18.44,9.34,130.35,2.27,342505451,7043345,20749350,5551179,109080826,2772988
일진홀딩스(주),015860,2017/12,5230,0,0,1.52,0.94,135.67,83.8,72.65,44.87,158.15,-27.26,258853295,-72047206,2988664,0,4761809,1773145
일진홀딩스(주),015860,2018/12,3030,16.63,5.86,1.4,0.49,50.06,17.65,47.86,16.87,29.88,8.67,267734110,20619374,2354468,0,7165725,4811258
