회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
사조씨푸드(주),014710,2022/12,4525,19.18,9.13,0.67,0.32,0,0,0.79,0.38,7.69,,,,,,,
삼부토건(주),001470,2017/12,6960,0,0,1.43,0.33,0,0,1.01,0.23,0,-14.52,390366999,-40427320,19061186,1042301,280423782,-19352774
삼부토건(주),001470,2018/12,4325,1140.82,364.5,1.21,0.39,0,0,1.44,0.46,0,-35.35,383718891,-73282726,26468098,796589,177427227,-9369500
삼부토건(주),001470,2019/12,717,79.71,8.3,3.35,0.35,0,0,3.32,0.35,10.08,4.1,391314222,7421712,12370939,1009871,226287328,4957492
삼부토건(주),001470,2020/12,4580,130.63,8.36,3.61,0.23,29.73,1.9,2.23,0.14,95.74,-9.79,459413598,-21137963,37098034,736818,379362246,-7849589
삼부토건(주),001470,2021/12,2325,969.57,364.22,2.88,1.08,0,0,2.23,0.84,0,-1.26,519063459,-2512441,35503675,316629,357047940,-4353123
삼부토건(주),001470,2022/12,1240,0,0,2.82,0.99,0,0,1.54,0.54,0,-35.88,511831085,-73437963,34680726,885512,463157669,-62976131
삼성SDI(주),006400,2017/12,204500,165.46,72.12,1.65,0.72,0,0,3.04,1.32,51.33,5.98,15751476330,643193863,1052194059,525933696,6321560922,116894787
삼성SDI(주),006400,2018/12,219000,35.27,22.49,1.77,1.13,0,0,2.27,1.44,19.13,6.05,19349721184,745049185,1325113320,603952111,9158272455,714970606
삼성SDI(주),006400,2019/12,236000,90.24,68.38,1.68,1.28,21.46,16.26,2.18,1.65,26.96,2.94,19852096448,402366430,1752994251,712409371,10097426164,462176462
삼성SDI(주),006400,2020/12,628000,204.04,58.3,4.03,1.15,60.93,17.41,4.87,1.39,62.24,4.54,21534232267,630966298,1709217655,808300073,11294770446,671335358
삼성SDI(주),006400,2021/12,655000,97.69,70.79,4.96,3.59,61.6,44.64,5.03,3.65,42.19,7.96,25833192997,1250401560,2010042579,877647905,13553220249,1067575601
삼성SDI(주),006400,2022/12,591000,63.65,37.6,4.44,2.62,44.52,26.3,3.16,1.86,27.54,12.52,30257525171,2039361448,2412733669,1076352606,20124069516,1808013013
삼성공조(주),006660,2017/12,11450,11.66,8.58,0.6,0.44,8.1,5.96,1.55,1.14,14.54,5.55,263085152,10988410,7464734,1412449,91757950,4264816
삼성공조(주),006660,2018/12,9100,19.23,12.81,0.51,0.34,49.99,33.3,1.56,1.04,508.14,2.99,260167988,6332359,8547649,1759381,80861051,-1129798
삼성공조(주),006660,2019/12,7990,19.98,14.47,0.42,0.31,15.07,10.91,1.44,1.04,0,2.21,258430845,5039089,9556212,1659475,75226695,-4080431
삼성공조(주),006660,2020/12,7220,12.51,7.16,0.33,0.19,8.58,4.91,1.28,0.73,15.98,2.46,258204690,5388558,8638177,1696940,63768469,-1299934
삼성공조(주),006660,2021/12,16800,0,0,1.14,0.28,27.6,6.72,3.46,0.84,50.44,-1.13,257514152,-2479562,8786051,1435902,79578435,1170697
삼성공조(주),006660,2022/12,9750,11.66,5.88,0.68,0.34,9.65,4.87,1.77,0.89,6.14,17.22,308654791,40961799,10837277,1679678,95745354,8737465
삼성물산(주),028260,2017/12,126000,62.14,48.72,1.35,1.06,35.6,27.91,1.41,1.1,32.8,3.13,49048902937,481104478,2770787110,84335000,29279045518,881268355
삼성물산(주),028260,2018/12,105500,23.7,15.5,1.54,1.01,17.4,11.38,1.35,0.88,23.24,8.06,42406651758,1748243543,2881418713,78036000,31155636887,1103890168
삼성물산(주),028260,2019/12,108500,42.43,29.74,1.05,0.73,0,0,1.15,0.81,26.44,4.77,45905516600,1047890681,2936059109,92979000,30761501059,866770072
삼성물산(주),028260,2020/12,138000,83.39,43.47,0.98,0.51,27.79,14.49,1.4,0.73,51.35,3.81,54331740266,1160650820,2508406318,96277000,30216118917,857079814
삼성물산(주),028260,2021/12,119000,15.74,10.23,1.1,0.72,30.91,20.09,1.43,0.93,49.13,5.38,55245423114,1829084040,2824956442,110181000,34455181883,1195982736
